,price,vehicle_type,registration_year,gearbox,power,model,mileage,registration_month,fuel_type,brand,not_repaired
count,258201.0,258201,258201.0,258201,258201.0,258201,258201.0,258201.0,258201,258201,258201.0
unique,,8,,2,,249,,,6,39,
top,,sedan,,manual,,golf,,,gasoline,volkswagen,
freq,,77284,,206118,,23227,,,253196,55806,
mean,4954.4283174735965,,2003.2137288391602,,122.15463921518507,,128292.18322159868,6.356032703204093,,,0.09650233732634653
std,4627.828544121517,,6.4333767239960515,,62.428067779256914,,36536.16096087664,3.2606974785630474,,,0.2952794843863277
min,100.0,,1910.0,,45.0,,5000.0,1.0,,,0.0
25%,1400.0,,1999.0,,80.0,,125000.0,4.0,,,0.0
50%,3300.0,,2003.0,,113.0,,150000.0,6.0,,,0.0
75%,7000.0,,2007.0,,150.0,,150000.0,9.0,,,0.0
max,20000.0,,2019.0,,2000.0,,150000.0,12.0,,,1.0
