,price,vehicle_type,registration_year,gearbox,power,model,mileage,fuel_type,brand,not_repaired,vehicle_age,mileage_per_year
count,258199.0,258199,258199.0,258199,258199.0,258199,258199.0,258199,258199,258199.0,258199.0,258199.0
unique,,8,,2,,249,,6,39,,,
top,,sedan,,manual,,golf,,gasoline,volkswagen,,,
freq,,77283,,206116,,23226,,253194,55804,,,
mean,4954.450040472659,,2003.2144508692907,,122.15500447329386,,128292.01507364475,,,0.09650308482991801,20.78554913070926,6645.331528478094
std,4627.837322632218,,6.428168694413235,,62.42815765475503,,36536.25251238834,,,0.2952805058511934,6.428168694413236,3082.109207991934
min,100.0,,1937.0,,45.0,,5000.0,,,0.0,5.0,57.47126436781609
25%,1400.0,,1999.0,,80.0,,125000.0,,,0.0,17.0,5208.333333333333
50%,3300.0,,2003.0,,113.0,,150000.0,,,0.0,21.0,6250.0
75%,7000.0,,2007.0,,150.0,,150000.0,,,0.0,25.0,7500.0
max,20000.0,,2019.0,,2000.0,,150000.0,,,1.0,87.0,30000.0
