iter	RMSE
0	3141.114763
1	2497.692244
2	2151.786677
3	1972.615392
4	1894.980119
5	1854.066411
6	1828.020719
7	1800.146343
8	1783.454409
9	1766.293963
10	1755.002904
11	1741.379664
12	1730.67219
13	1720.756664
14	1712.143841
15	1706.759016
16	1701.217313
17	1689.768634
18	1682.772513
19	1676.919092
20	1673.437614
21	1667.428987
22	1663.758148
23	1649.366911
24	1645.096615
25	1641.809812
26	1637.763924
27	1631.117878
28	1627.78336
29	1625.938871
30	1619.699474
31	1616.281645
32	1613.611566
33	1609.1245
34	1607.628891
35	1604.608808
36	1600.419913
37	1595.731895
38	1593.813207
39	1589.501502
40	1586.2652
41	1583.416415
42	1582.363682
43	1579.607725
44	1576.880102
45	1573.701442
46	1570.526493
47	1569.000131
48	1566.747375
49	1564.667577
50	1559.708551
51	1557.327833
52	1555.886421
53	1552.990026
54	1551.44461
55	1550.903657
56	1548.405711
57	1546.609944
58	1545.579384
59	1544.236034
60	1541.990315
61	1540.422013
62	1539.86137
63	1535.220426
64	1528.854435
65	1524.8664
66	1522.013984
67	1517.628321
68	1515.372555
69	1513.337221
70	1512.578709
71	1511.170779
72	1508.223065
73	1505.656593
74	1504.728399
75	1501.390093
76	1499.280383
77	1498.028884
78	1495.483404
79	1493.102795
80	1491.332095
81	1489.741806
82	1487.61112
83	1486.191062
84	1484.566238
85	1483.293869
86	1480.792613
87	1479.897126
88	1477.382011
89	1475.804893
90	1473.136913
91	1471.967864
92	1469.601189
93	1468.438171
94	1467.037169
95	1465.907948
96	1464.490565
97	1463.628436
98	1460.592488
99	1459.052567
