iter	Passed	Remaining
0	129	12817
1	197	9681
2	266	8615
3	326	7829
4	377	7178
5	432	6774
6	486	6463
7	545	6273
8	626	6331
9	682	6140
10	731	5920
11	772	5664
12	810	5423
13	846	5201
14	882	5000
15	919	4827
16	955	4666
17	992	4520
18	1026	4374
19	1062	4248
20	1100	4141
21	1137	4032
22	1173	3928
23	1211	3836
24	1246	3739
25	1287	3663
26	1323	3577
27	1359	3496
28	1397	3421
29	1425	3327
30	1465	3261
31	1503	3194
32	1538	3124
33	1575	3057
34	1609	2988
35	1644	2923
36	1683	2866
37	1720	2806
38	1755	2745
39	1791	2687
40	1828	2630
41	1867	2579
42	1904	2524
43	1938	2467
44	1977	2416
45	2016	2367
46	2052	2315
47	2088	2262
48	2127	2214
49	2164	2164
50	2199	2113
51	2236	2064
52	2295	2036
53	2350	2002
54	2392	1957
55	2428	1908
56	2464	1859
57	2503	1812
58	2537	1763
59	2572	1714
60	2611	1669
61	2650	1624
62	2684	1576
63	2720	1530
64	2758	1485
65	2797	1441
66	2833	1395
67	2870	1350
68	2912	1308
69	2952	1265
70	2993	1222
71	3030	1178
72	3067	1134
73	3103	1090
74	3142	1047
75	3178	1003
76	3214	960
77	3250	916
78	3291	874
79	3327	831
80	3361	788
81	3398	746
82	3432	703
83	3472	661
84	3510	619
85	3547	577
86	3581	535
87	3622	493
88	3659	452
89	3694	410
90	3731	369
91	3767	327
92	3808	286
93	3844	245
94	3879	204
95	3916	163
96	3957	122
97	3993	81
98	4037	40
99	4071	0
