,price,vehicle_type,registration_year,gearbox,power,model,mileage,fuel_type,brand,not_repaired,vehicle_age,mileage_per_year
count,228567.0,228567,228567.0,228567,228567.0,228567,228567.0,228567,228567,228567,228567.0,228567.0
unique,,8,,2,,249,,6,39,2,,
top,,sedan,,manual,,golf,,gasoline,volkswagen,no,,
freq,,68640,,181710,,19358,,224404,48514,202390,,
mean,5159.782002651302,,2003.532810948212,,123.03872387527508,,127454.9694400329,,,,20.46718905178788,6716.090199691163
std,4696.0097201594335,,6.412674677987588,,60.895435489037624,,36866.966162915625,,,,6.412674677987588,3181.7603851505
min,100.0,,1937.0,,45.0,,5000.0,,,,5.0,57.47126436781609
25%,1500.0,,1999.0,,80.0,,125000.0,,,,16.0,5208.333333333333
50%,3500.0,,2004.0,,115.0,,150000.0,,,,20.0,6250.0
75%,7500.0,,2008.0,,150.0,,150000.0,,,,25.0,7692.307692307692
max,20000.0,,2019.0,,2000.0,,150000.0,,,,87.0,30000.0
