,price,vehicle_type,registration_year,gearbox,power,model,mileage,registration_month,fuel_type,brand,not_repaired
count,228568.0,228568,228568.0,228568,228568.0,228568,228568.0,228568.0,228568,228568,228568
unique,,8,,2,,249,,,6,39,2
top,,sedan,,manual,,golf,,,gasoline,volkswagen,no
freq,,68640,,181711,,19358,,,224405,48515,202391
mean,5159.774303489552,,2003.532401736026,,123.03857932868993,,127454.80557208358,6.354809072136082,,,
std,4696.000890022215,,6.415644268331206,,60.89534148938152,,36866.96875563086,3.2865444143198457,,,
min,100.0,,1910.0,,45.0,,5000.0,1.0,,,
25%,1500.0,,1999.0,,80.0,,125000.0,4.0,,,
50%,3500.0,,2004.0,,115.0,,150000.0,6.0,,,
75%,7500.0,,2008.0,,150.0,,150000.0,9.0,,,
max,20000.0,,2019.0,,2000.0,,150000.0,12.0,,,
